,0.2,0.3,0.4,0.5,Avg
BasicNet,0.7818333506584167,0.5753333568572998,0.3955000042915344,0.27649998664855957,0.5072916746139526
Cutout-7-1 BasicNet,0.7601666450500488,0.5324999690055847,0.3493333160877228,0.2251666635274887,0.46679164841771126
Cutout-7-1-FGSM-0.3 BasicNet,0.9760000109672546,0.9636666774749756,0.9476666450500488,0.9173333048820496,0.9511666595935822
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.9673333168029785,0.9528332948684692,0.9350000023841858,0.9156666398048401,0.9427083134651184
Cutout-7-2 BasicNet,0.7049999833106995,0.4743333160877228,0.2919999957084656,0.17683333158493042,0.41204165667295456
Cutout-7-2-FGSM-0.3 BasicNet,0.9714999794960022,0.9631666541099548,0.9474999904632568,0.9208333492279053,0.9507499933242798
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.9706666469573975,0.9621666669845581,0.9519999623298645,0.9413332939147949,0.9565416425466537
Cutout-7-3 BasicNet,0.7636666297912598,0.5521666407585144,0.3766666650772095,0.2538333237171173,0.48658331483602524
Cutout-7-4 BasicNet,0.75,0.5180000066757202,0.3178333342075348,0.19233332574367523,0.44454166665673256
Cutout-7-5 BasicNet,0.7391666769981384,0.5184999704360962,0.32749998569488525,0.2123333364725113,0.4493749924004078
Cutout-10-1 BasicNet,0.793833315372467,0.5866666436195374,0.38983333110809326,0.25966665148735046,0.507499985396862
Cutout-10-1-FGSM-0.3 BasicNet,0.971833348274231,0.9623333215713501,0.9459999799728394,0.9139999747276306,0.9485416561365128
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.9620000123977661,0.950333297252655,0.9328333139419556,0.9200000166893005,0.9412916600704193
Cutout-10-2 BasicNet,0.7829999923706055,0.5771666765213013,0.39499998092651367,0.2553333342075348,0.5026249960064888
Cutout-10-2-FGSM-0.3 BasicNet,0.965666651725769,0.9513333439826965,0.934499979019165,0.9124999642372131,0.9409999847412109
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.9508333206176758,0.9361666440963745,0.9191666841506958,0.8981666564941406,0.9260833263397217
Cutout-10-3 BasicNet,0.7454999685287476,0.5049999952316284,0.31049999594688416,0.19616666436195374,0.43929165601730347
Cutout-10-4 BasicNet,0.8033333420753479,0.6121666431427002,0.42016667127609253,0.2683333158493042,0.5259999930858612
Cutout-10-5 BasicNet,0.73416668176651,0.5245000123977661,0.3425000011920929,0.2409999966621399,0.46054167300462723
Cutout-14-1 BasicNet,0.7671666741371155,0.5643333196640015,0.39283332228660583,0.2705000042915344,0.4987083300948143
Cutout-14-2 BasicNet,0.7796666622161865,0.5849999785423279,0.3973333239555359,0.24799999594688416,0.5024999901652336
Cutout-14-3 BasicNet,0.7310000061988831,0.5231666564941406,0.3461666703224182,0.23600000143051147,0.45908333361148834
Cutout-14-4 BasicNet,0.7149999737739563,0.4909999966621399,0.32066667079925537,0.22499999403953552,0.43791665881872177
Cutout-14-5 BasicNet,0.6955000162124634,0.4934999942779541,0.328166663646698,0.21449999511241913,0.43291666731238365
FGSM-0.2 BasicNet,0.9754999876022339,0.9591666460037231,0.9304999709129333,0.8849999904632568,0.9375416487455368
FGSM-0.3 BasicNet,0.9723333120346069,0.9580000042915344,0.9333333373069763,0.9049999713897705,0.942166656255722
FGSM-0.3-Cutout-7-1 BasicNet,0.9760000109672546,0.9595000147819519,0.9279999732971191,0.8736666440963745,0.934291660785675
FGSM-0.3-Cutout-7-2 BasicNet,0.9629999995231628,0.9448333382606506,0.9116666316986084,0.8648332953453064,0.9210833162069321
FGSM-0.3-Cutout-10-1 BasicNet,0.9713333249092102,0.953000009059906,0.934166669845581,0.909500002861023,0.94200000166893
FGSM-0.3-Cutout-10-2 BasicNet,0.965666651725769,0.9473333358764648,0.9171666502952576,0.8723333477973938,0.9256249964237213
Mixup-0.25 BasicNet,0.6836666464805603,0.5191666483879089,0.3841666579246521,0.29116666316986084,0.46954165399074554
Mixup-0.25-FGSM-0.3 BasicNet,0.9639999866485596,0.9506666660308838,0.934499979019165,0.9123333096504211,0.9403749853372574
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.9623333215713501,0.9511666297912598,0.934666633605957,0.9148333072662354,0.9407499730587006
Mixup-1 BasicNet,0.6100000143051147,0.39933332800865173,0.27433332800865173,0.21066667139530182,0.37358333542943
Mixup-1-FGSM-0.3 BasicNet,0.9483333230018616,0.9309999942779541,0.9121666550636292,0.8883333206176758,0.9199583232402802
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.9508333206176758,0.9403333067893982,0.9266666769981384,0.9113333225250244,0.9322916567325592
Mixup-2 BasicNet,0.6944999694824219,0.5295000076293945,0.39766666293144226,0.2929999828338623,0.47866665571928024
Mixup-4 BasicNet,0.6644999980926514,0.49283331632614136,0.35716667771339417,0.2643333375453949,0.44470833241939545
Mixup-4-FGSM-0.3 BasicNet,0.9319999814033508,0.9123333096504211,0.8881666660308838,0.8224999904632568,0.8887499868869781
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.9278333187103271,0.9129999876022339,0.8923333287239075,0.8606666326522827,0.8984583169221878
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.9713333249092102,0.9599999785423279,0.9431666731834412,0.9214999675750732,0.9489999860525131
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.9733332991600037,0.9584999680519104,0.9399999976158142,0.906333327293396,0.9445416480302811
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.9710000157356262,0.9609999656677246,0.9354999661445618,0.8726666569709778,0.9350416511297226
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.9671666622161865,0.9524999856948853,0.9361666440963745,0.9101666808128357,0.9414999932050705
L_inf-PGD-0.3-50 BasicNet,0.9746666550636292,0.965999960899353,0.9466666579246521,0.9171666502952576,0.951124981045723
L_inf-PGD-0.4-30 BasicNet,0.9754999876022339,0.965999960899353,0.9446666836738586,0.9169999957084656,0.9507916569709778
L_inf-PGD-0.4-40 BasicNet,0.9768333435058594,0.9699999690055847,0.9595000147819519,0.9423333406448364,0.9621666669845581
L_inf-PGD-0.4-50 BasicNet,0.96916663646698,0.9606666564941406,0.949833333492279,0.9168333411216736,0.9491249918937683
Mixup-0.5 BasicNet,0.6323333382606506,0.4436666667461395,0.3218333423137665,0.24916666746139526,0.411750003695488
FGSM-0.4 BasicNet,0.9710000157356262,0.9571666717529297,0.9399999976158142,0.9206666350364685,0.9472083300352097
FGSM-0.5 BasicNet,0.9798333048820496,0.9739999771118164,0.9653333425521851,0.9546666741371155,0.9684583246707916
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.9706666469573975,0.9613333344459534,0.9476666450500488,0.9315000176429749,0.9527916610240936
L_inf PGD-0.340-Mixup-1 BasicNet,0.9513333439826965,0.9321666359901428,0.9049999713897705,0.8698333501815796,0.9145833253860474
L_inf PGD-0.340-Mixup-4 BasicNet,0.953166663646698,0.9338333010673523,0.9096666574478149,0.8778333067893982,0.9186249822378159
L_inf-PGD-0.2-30 BasicNet,0.9666666388511658,0.9434999823570251,0.906499981880188,0.8653333187103271,0.9204999804496765
L_inf-PGD-0.2-40 BasicNet,0.9716666340827942,0.950333297252655,0.9210000038146973,0.8816666603088379,0.9311666488647461
L_inf-PGD-0.2-50 BasicNet,0.9749999642372131,0.9578333497047424,0.9311666488647461,0.8948333263397217,0.9397083222866058
L_inf-PGD-0.3-30 BasicNet,0.9701666831970215,0.9583333134651184,0.9396666288375854,0.9083333015441895,0.9441249817609787
L_inf-PGD-0.3-40 BasicNet,0.9785000085830688,0.9663333296775818,0.9513333439826965,0.9236666560173035,0.9549583345651627
FGSM-0.3-Mixup-0.25 BasicNet,0.968666672706604,0.9508333206176758,0.9293333292007446,0.8981666564941406,0.9367499947547913
FGSM-0.3-Mixup-1 BasicNet,0.9629999995231628,0.9465000033378601,0.922166645526886,0.8945000171661377,0.9315416663885117
FGSM-0.3-Mixup-4 BasicNet,0.9459999799728394,0.9236666560173035,0.8955000042915344,0.8544999957084656,0.9049166589975357
LargeNet,0.8708333373069763,0.778166651725769,0.6865000128746033,0.5996666550636292,0.7337916642427444
Ensemble-3 BasicNet,0.8941666483879089,0.7561666369438171,0.5755000114440918,0.41099998354911804,0.659208320081234
Ensemble-5 BasicNet,0.918666660785675,0.8063333034515381,0.6503333449363708,0.4934999942779541,0.7172083258628845
Ensemble-10 BasicNet,0.9306666851043701,0.8263333439826965,0.656166672706604,0.47850000858306885,0.7229166775941849
Ensemble-15 BasicNet,0.9328333139419556,0.8244999647140503,0.6551666855812073,0.468833327293396,0.7203333228826523
