,Max Logit,Max Softmax,Cross Entropy,Avg
BasicNet,0.9955886388888889,0.9893181805555555,0.9965489583333333,0.9938185925925925
Cutout-7-1 BasicNet,0.9970005833333334,0.9894664027777778,0.9976585833333333,0.9947085231481481
Cutout-7-1-FGSM-0.3 BasicNet,0.9971385555555555,0.9892299166666667,0.9981983888888889,0.9948556203703705
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.988966138888889,0.979924361111111,0.9966318055555555,0.9885074351851851
Cutout-7-2 BasicNet,0.9982957777777777,0.9895712500000002,0.9990514444444444,0.9956394907407408
Cutout-7-2-FGSM-0.3 BasicNet,0.9943581944444445,0.98314225,0.9976333055555555,0.9917112499999999
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.9938797222222222,0.9805472638888889,0.9976623611111111,0.9906964490740741
Cutout-7-3 BasicNet,0.9942872222222223,0.9877808611111111,0.996557236111111,0.9928751064814815
Cutout-7-4 BasicNet,0.9965689722222223,0.9854891944444444,0.9973605277777778,0.9931395648148148
Cutout-7-5 BasicNet,0.9961296944444444,0.9857586666666667,0.9974366666666666,0.9931083425925925
Cutout-10-1 BasicNet,0.9957295,0.9883862916666667,0.9975695,0.9938950972222221
Cutout-10-1-FGSM-0.3 BasicNet,0.9980212222222222,0.9912839722222222,0.9990745833333333,0.9961265925925926
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.9946334444444445,0.9764133333333332,0.9977307777777777,0.9895925185185185
Cutout-10-2 BasicNet,0.9949243055555556,0.9807479861111112,0.9961212222222222,0.9905978379629629
Cutout-10-2-FGSM-0.3 BasicNet,0.997134638888889,0.9877178333333332,0.9986395,0.9944973240740741
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.9890154444444444,0.9706750972222222,0.9963116944444445,0.9853340787037038
Cutout-10-3 BasicNet,0.9960553888888888,0.9836687222222223,0.9974928055555555,0.9924056388888888
Cutout-10-4 BasicNet,0.9989341944444444,0.9923041805555556,0.9990724722222223,0.9967702824074074
Cutout-10-5 BasicNet,0.9979010833333333,0.9804576250000001,0.99891825,0.9924256527777778
Cutout-14-1 BasicNet,0.9953540277777778,0.9823215833333334,0.9982737500000001,0.9919831203703704
Cutout-14-2 BasicNet,0.9976374444444445,0.9889356805555556,0.9984071944444444,0.9949934398148148
Cutout-14-3 BasicNet,0.9943375555555556,0.9746665555555556,0.9952318333333334,0.9880786481481483
Cutout-14-4 BasicNet,0.9967838611111112,0.9818407916666666,0.9982328888888888,0.9922858472222221
Cutout-14-5 BasicNet,0.9963448888888888,0.9801303055555557,0.9977527777777778,0.9914093240740741
FGSM-0.2 BasicNet,0.9976470833333334,0.9918608472222221,0.9985952777777778,0.9960344027777778
FGSM-0.3 BasicNet,0.9962601111111111,0.9886669305555555,0.99778375,0.9942369305555555
FGSM-0.3-Cutout-7-1 BasicNet,0.9967813888888889,0.9864340972222222,0.9978609444444445,0.9936921435185185
FGSM-0.3-Cutout-7-2 BasicNet,0.9932145277777777,0.9821360416666667,0.99804075,0.9911304398148149
FGSM-0.3-Cutout-10-1 BasicNet,0.995905361111111,0.9852684861111112,0.9979537777777777,0.9930425416666666
FGSM-0.3-Cutout-10-2 BasicNet,0.9968835,0.9889649166666666,0.9991619444444444,0.9950034537037037
Mixup-0.25 BasicNet,0.9960721944444445,0.9956507777777778,0.9968885,0.9962038240740742
Mixup-0.25-FGSM-0.3 BasicNet,0.9964352777777777,0.9941109444444445,0.9978911111111112,0.9961457777777777
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.9903285000000001,0.9853836388888889,0.9959693611111112,0.9905605000000001
Mixup-1 BasicNet,0.9775480277777779,0.9869161111111111,0.9798116805555557,0.9814252731481483
Mixup-1-FGSM-0.3 BasicNet,0.9798649444444445,0.9764203055555556,0.9898912916666668,0.9820588472222224
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.9891091388888889,0.9854968611111112,0.9949201527777777,0.9898420509259259
Mixup-2 BasicNet,0.9887355694444445,0.9887209305555555,0.9874228611111112,0.9882931203703705
Mixup-4 BasicNet,0.9744402083333333,0.9752155833333334,0.9741507777777778,0.9746021898148148
Mixup-4-FGSM-0.3 BasicNet,0.9855783055555556,0.9809144722222223,0.9918981388888888,0.9861303055555556
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.9820277777777778,0.9690378333333334,0.987691263888889,0.979585625
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.9969657777777777,0.9891617361111111,0.9986099166666667,0.9949124768518519
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.9958523888888889,0.9864373750000001,0.9986171944444444,0.9936356527777779
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.9925399722222221,0.9771035,0.9963640277777778,0.9886691666666666
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.9971965277777778,0.9853586666666667,0.9983652222222222,0.9936401388888889
L_inf-PGD-0.3-50 BasicNet,0.9946233333333333,0.983472513888889,0.9973994444444445,0.9918317638888889
L_inf-PGD-0.4-30 BasicNet,0.9873372777777778,0.9731880972222222,0.9924156388888888,0.9843136712962962
L_inf-PGD-0.4-40 BasicNet,0.9935170555555556,0.9835130416666668,0.9970723611111111,0.9913674861111111
L_inf-PGD-0.4-50 BasicNet,0.9897233055555554,0.9751634444444445,0.99577575,0.9868874999999999
Mixup-0.5 BasicNet,0.97135025,0.9879971805555556,0.9848958472222222,0.981414425925926
FGSM-0.4 BasicNet,0.9955699444444444,0.9809376249999999,0.9962415277777779,0.9909163657407407
FGSM-0.5 BasicNet,0.9925094722222222,0.9789813472222223,0.9955074166666666,0.9889994120370371
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.9938155833333333,0.9924422500000001,0.9975402777777778,0.9945993703703704
L_inf PGD-0.340-Mixup-1 BasicNet,0.9857953194444443,0.9771964444444444,0.9892630277777777,0.9840849305555555
L_inf PGD-0.340-Mixup-4 BasicNet,0.9977029722222223,0.9912778611111113,0.9958308194444444,0.9949372175925927
L_inf-PGD-0.2-30 BasicNet,0.9969538611111111,0.9917544305555555,0.9981904722222223,0.9956329212962963
L_inf-PGD-0.2-40 BasicNet,0.9968476666666667,0.9914185833333333,0.9981578333333334,0.9954746944444445
L_inf-PGD-0.2-50 BasicNet,0.9958634166666668,0.9868131388888889,0.9967252222222223,0.993133925925926
L_inf-PGD-0.3-30 BasicNet,0.9938882222222223,0.9808064583333332,0.9967383055555556,0.990477662037037
L_inf-PGD-0.3-40 BasicNet,0.9956856111111112,0.9879678333333333,0.9979077500000001,0.9938537314814816
FGSM-0.3-Mixup-0.25 BasicNet,0.9980364166666665,0.9956604444444446,0.9984900555555555,0.9973956388888889
FGSM-0.3-Mixup-1 BasicNet,0.9878787777777779,0.9869683333333332,0.9941111388888888,0.98965275
FGSM-0.3-Mixup-4 BasicNet,0.995676388888889,0.9881886666666667,0.9962559444444443,0.9933736666666667
LargeNet,0.9864338055555556,0.9708394027777778,0.9865705833333335,0.981281263888889
Ensemble-3 BasicNet,0.9971536388888889,0.9910653472222222,0.9973186388888888,0.9951792083333334
Ensemble-5 BasicNet,0.9985991666666666,0.9959064305555554,0.9985134444444445,0.9976730138888888
Ensemble-10 BasicNet,0.9987314999999999,0.995935875,0.9987261666666667,0.9977978472222221
Ensemble-15 BasicNet,0.9983678333333335,0.9952446805555555,0.9983044999999999,0.9973056712962963
